Object Name,Satellite of,Equatorial Radius [m],Mean Radius [m],Mass [kg],Bulk Density [kg m-3],Semimajor Axis [m],Sidereal Rotation Period [s],Sidereal Orbit Period (Negative Indicates Retrograde) [s],Inclination (Relative to Primary's Equator)[deg],Eccentricity,Axial Tilt [deg],Magnitude [mag],Magnitude Band [UBVRI],Geometric Albedo,Mean Gravity [m s-2],Equatorial Gravity [m-2],Escape Velocity [m s-1],Perihelion [m],Aphelion [m],Luminosity [J s-1],Orbital Motion [rad s-1],Beta Parameter [kg m-1 s-2],Core Radius [m],Mantle Thickness [m]
Io,Jupiter,,1.82E+06,8.93E+22,3.53E+03,4.22E+08,1.53E+05,1.53E+05,0.04,0,,5.02,V0,6.30E-01,1.80E+00,,,,,,4.11E-05,1.16E+10,612500,1.16E+06
Europa,Jupiter,,1.56E+06,4.80E+22,3.01E+03,6.71E+08,3.07E+05,3.07E+05,0.47,0.01,,5.29,V0,6.70E-01,1.32E+00,,,,,,2.05E-05,6.18E+09,,
Ganymede,Jupiter,,2.63E+06,1.48E+23,1.94E+03,1.07E+09,6.18E+05,6.18E+05,0.21,0,,4.61,V0,4.30E-01,1.43E+00,,,,,,1.02E-05,7.30E+09,,
Callisto,Jupiter,,2.41E+06,1.08E+23,1.83E+03,1.88E+09,1.44E+06,1.44E+06,0.51,0.01,,5.65,V0,1.70E-01,1.24E+00,,,,,,4.36E-06,5.46E+09,,
Amalthea,Jupiter,,8.35E+04,2.07E+18,8.49E+02,1.81E+08,4.30E+04,4.30E+04,0.4,0,,14.1,V0,9.00E-02,1.98E-02,,,,,,1.46E-04,1.40E+06,,
Himalia,Jupiter,,8.50E+04,6.74E+18,2.60E+03,1.15E+10,3.46E+04,2.17E+07,27.63,0.16,,14.2,R,4.00E-02,6.23E-02,,,,,,2.90E-07,1.38E+07,,
Elara,Jupiter,,4.30E+04,8.69E+17,2.60E+03,1.17E+10,4.32E+04,2.24E+07,24.77,0.22,,16,R,4.00E-02,3.14E-02,,,,,,2.80E-07,3.51E+06,,
Pasiphae,Jupiter,,3.00E+04,3.00E+17,2.60E+03,,,-6.43E+07,,,,16.8,R,4.00E-02,2.22E-02,,,,,,-9.78E-08,1.73E+06,,
Sinope,Jupiter,,1.90E+04,7.49E+16,2.60E+03,,,-6.56E+07,,,,18.2,R,4.00E-02,1.39E-02,,,,,,-9.58E-08,6.84E+05,,
Lysithea,Jupiter,,1.80E+04,6.29E+16,2.60E+03,1.17E+10,,2.24E+07,27.35,0.11,,18.1,R,4.00E-02,1.30E-02,,,,,,2.81E-07,6.07E+05,,
Carme,Jupiter,,2.30E+04,1.32E+17,2.60E+03,,,-6.34E+07,,,,18.1,R,4.00E-02,1.66E-02,,,,,,-9.91E-08,9.95E+05,,
